county,population,unemploymentRate,povertyRate,medianIncome,avgmealmon,homeless,pplweekmon,drivealone,carpooled,publicTrans,walked,meanHouseIncome,yeshealth,privatehealth,publichealth,nohealth,POP_SNAP
Atlantic,270153,9.450,0.143,54052,3.12,548,79.473,97406,8585,9324,3935,77622,248134,180098,103075,23129,45731
Bergen,926391,5.700,0.071,89023,3.44,340,49.293,325330,31299,68027,13468,123878,853892,717188,226590,78734,40208
Burlington,446832,5.292,0.079,74800,2.96,1347,55.994,183658,17165,7390,3059,95897,415015,350740,129234,19883,28335
Camden,507638,6.392,0.132,65025,3.12,611,71.257,188187,19611,17925,5263,84255,469060,352305,175068,35907,70832
Cape May,94160,11.400,0.087,57116,3.71,157,90.198,32816,2293,1097,2533,79746,83998,64811,37161,8407,9362
Cumberland,154712,8.733,0.169,51315,2.77,201,65.321,55524,4669,667,1378,64461,128677,84403,60072,15144,30960
Essex,790439,6.817,0.171,52041,3.88,1723,121.540,222011,26299,82534,16144,90098,683109,475151,271950,102424,131030
Gloucester,290943,5.992,0.072,77565,2.89,120,54.512,121055,9017,2902,1841,94402,273514,226055,82679,16812,22368
Hudson,664492,5.308,0.179,60530,3.17,917,60.138,129988,25545,144502,29386,86763,575408,390983,226023,95820,112347
Hunterdon,125452,4.183,0.062,102122,3.83,140,45.842,52296,3314,1611,1543,131092,118997,103840,30725,2875,3148
Mercer,368124,4.925,0.112,72417,3.15,600,64.584,130123,14239,15593,6516,103099,334144,265703,110646,31197,32872
Middlesex,825546,5.067,0.085,78643,3.02,604,48.135,286296,34849,35972,16149,100506,760636,622891,218731,70857,57787
Monmouth,624079,5.125,0.074,87092,3.25,456,52.413,230815,20002,26829,6253,118207,583226,495145,167872,41313,36399
Morris,494259,4.308,0.049,101661,3.44,384,40.546,204603,17120,13970,4512,138939,469570,413936,115110,26588,15726
Ocean,587091,6.100,0.109,63765,3.17,605,56.206,209776,17389,4949,5120,84651,544441,407015,244185,39174,62408
Passaic,504629,6.967,0.176,55954,3.19,459,56.638,163128,23399,19413,7392,77492,449038,278983,208408,58241,105102
Salem,63732,7.258,0.114,68830,3.53,38,86.770,24202,2597,201,466,88766,59606,45104,23619,3332,9325
Somerset,329626,4.508,0.052,98440,3.41,342,43.307,134577,12021,8140,3684,132892,311777,274229,71082,18776,12874
Sussex,143004,5.367,0.048,85086,3.58,57,50.034,64944,4956,1040,1145,109179,136333,115072,38680,6468,4735
Union,549905,5.975,0.106,71163,3.02,504,54.202,177773,22037,34254,8130,102929,481160,361658,165957,69732,49795
Warren,106742,5.292,0.072,71277,3.54,58,61.756,43581,3883,1077,2116,89871,99484,81728,30788,6383,7542
